code,description,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,baseline,2018-19_pct,2019-20_pct,2020-21_pct,2021-22_pct,2022-23_pct,2023-24_pct,group
I10-I15,Hypertensive diseases,20578.0,23451.0,23990.0,32088.0,33700.0,42508.0,22014.5,-6.525244725067569,6.525244725067569,8.973631015921324,45.75847736718981,53.080923936496404,93.09091734992846,Resilient / rising
I26-I28,Pulmonary heart disease & diseases of pulmonary circulation,29107.0,30573.0,34607.0,36418.0,35066.0,35857.0,29840.0,-2.4564343163538873,2.4564343163538873,15.975201072386058,22.044235924932977,17.51340482573727,20.1642091152815,Resilient / rising
I80-I89,Diseases of veins & lymphatic system nec.,41322.0,70009.0,64421.0,72061.0,71792.0,76981.0,55665.5,-25.767306500435637,25.767306500435637,15.728772758710512,29.453611303230904,28.97036764243562,38.29211989472833,Resilient / rising
K70-K77,Diseases of liver,24885.0,25743.0,27623.0,30315.0,29931.0,30006.0,25314.0,-1.694714387295568,1.694714387295568,9.12143477917358,19.755866319032947,18.23891917515999,18.535197914197678,Resilient / rising
B25-B34,Other viral diseases,116893.0,105728.0,45958.0,96977.0,83090.0,85279.0,111310.5,5.015250133635192,-5.015250133635192,-58.711891510684076,-12.877042147865655,-25.352954123824794,-23.38638313546341,Sharp declines
J00-J06,Acute upper respiratory infections,133084.0,140993.0,42419.0,98285.0,119706.0,108707.0,137038.5,-2.8856854095746813,2.8856854095746813,-69.0459250502596,-28.279279180668205,-12.64790551560328,-20.674117127668502,Sharp declines
J09-J18,Influenza & pneumonia,282503.0,298114.0,137083.0,184907.0,261695.0,284700.0,290308.5,-2.688691512649475,2.688691512649475,-52.78023206347731,-36.30672198712749,-9.856239138709338,-1.931910364319336,Sharp declines
J20-J22,Other acute lower respiratory infections,174923.0,181948.0,53819.0,136990.0,156188.0,179404.0,178435.5,-1.9684984209980636,1.9684984209980636,-69.83840099083423,-23.2271605145837,-12.468090710648946,0.5427731589285765,Sharp declines
