code,description,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,baseline,2018-19_pct,2019-20_pct,2020-21_pct,2021-22_pct,2022-23_pct,2023-24_pct
A00-A09,Intestinal infectious diseases,119827.0,118049.0,67675.0,100034.0,104974.0,114231.0,118938.0,0.7474482503489213,-0.7474482503489213,-43.10060703896148,-15.893995190771662,-11.74057071751669,-3.9575240881803966
A15-A19,Tuberculosis,1335.0,1387.0,1181.0,1366.0,1346.0,1634.0,1361.0,-1.9103600293901544,1.9103600293901544,-13.225569434239528,0.36737692872887584,-1.1021307861866276,20.058780308596617
A20-A28,Certain zoonotic bacterial diseases,,148.0,103.0,99.0,113.0,146.0,148.0,,0.0,-30.405405405405407,-33.108108108108105,-23.64864864864865,-1.3513513513513513
A20-A49,Certain bacterial diseases,148156.0,,,,,,148156.0,0.0,,,,,
A30-A49,Other bacterial diseases,,137272.0,94976.0,110063.0,113026.0,114125.0,137272.0,,0.0,-30.811818870563553,-19.821230840958098,-17.66274258406667,-16.862142315985782
A50-A64,Infections with a predominantly sexual mode of transmission,,717.0,569.0,725.0,925.0,997.0,717.0,,0.0,-20.641562064156208,1.1157601115760112,29.009762900976288,39.05160390516039
A50-A64,Infections with predominantly sexual mode of transmission,670.0,,,,,,670.0,0.0,,,,,
A65-A69,Other spirochaetal diseases,,281.0,166.0,191.0,193.0,264.0,281.0,,0.0,-40.92526690391459,-32.028469750889684,-31.316725978647685,-6.049822064056939
A65-A79,Other infectious and parasitic disorders,351.0,,,,,,351.0,0.0,,,,,
A70-A74,Other diseases caused by chlamydiae,,51.0,31.0,42.0,53.0,48.0,51.0,,0.0,-39.21568627450981,-17.647058823529413,3.9215686274509802,-5.88235294117647
A75-A79,Rickettsioses,,28.0,5.0,7.0,24.0,28.0,28.0,,0.0,-82.14285714285714,-75.0,-14.285714285714285,0.0
A80-A89,Viral infections of the central nervous system,3639.0,3511.0,1347.0,2115.0,2772.0,3269.0,3575.0,1.7902097902097902,-1.7902097902097902,-62.32167832167832,-40.83916083916084,-22.46153846153846,-8.55944055944056
A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,178.0,,,,,,178.0,0.0,,,,,
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,,240.0,9.0,60.0,176.0,323.0,240.0,,0.0,-96.25,-75.0,-26.666666666666668,34.583333333333336
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,13558.0,12543.0,6018.0,9212.0,12155.0,11876.0,13050.5,3.8887398950231793,-3.8887398950231793,-53.88682425960691,-29.41266618137236,-6.861806061070457,-8.999655185625071
B15-B19,Viral hepatitis,1632.0,1667.0,1125.0,1358.0,1843.0,1952.0,1649.5,-1.0609275538041831,1.0609275538041831,-31.797514398302518,-17.672021824795394,11.730827523491968,18.33889057290088
B20-B24,Human immunodeficiency virus [HIV] disease,1113.0,918.0,588.0,643.0,703.0,757.0,1015.5,9.601181683899556,-9.601181683899556,-42.09748892171344,-36.68143771541112,-30.773018217626785,-25.455440669620877
