code,description,emergency,year
A00-A09,Intestinal infectious diseases,100034.0,2021-22
A15-A19,Tuberculosis,1366.0,2021-22
A20-A28,Certain zoonotic bacterial diseases,99.0,2021-22
A30-A49,Other bacterial diseases,110063.0,2021-22
A50-A64,Infections with a predominantly sexual mode of transmission,725.0,2021-22
A65-A69,Other spirochaetal diseases,191.0,2021-22
A70-A74,Other diseases caused by chlamydiae,42.0,2021-22
A75-A79,Rickettsioses,7.0,2021-22
A80-A89,Viral infections of the central nervous system,2115.0,2021-22
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,60.0,2021-22
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,9212.0,2021-22
B15-B19,Viral hepatitis,1358.0,2021-22
B20-B24,Human immunodeficiency virus [HIV] disease,643.0,2021-22
B25-B34,Other viral diseases,96977.0,2021-22
B35-B49,Mycoses,3096.0,2021-22
B50-B64,Protozoal diseases,1285.0,2021-22
B65-B83,Helminthiases,236.0,2021-22
B85-B89,"Pediculosis, acariasis and other infestations",194.0,2021-22
B95-B98,"Bacterial, viral and other infectious agents",2.0,2021-22
B99-B99,Other infectious and parasitic diseases,7477.0,2021-22
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,2539.0,2021-22
C15-C26,Malignant neoplasm of digestive organs,30000.0,2021-22
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,14595.0,2021-22
C40-C41,Malignant neoplasm of bone and articular cartilage,640.0,2021-22
C43-C44,Malignant neoplasms of skin,1592.0,2021-22
C45-C49,Malignant neoplasms of mesothelial and soft tissue,2351.0,2021-22
C50-C50,Malignant neoplasm of breast,4166.0,2021-22
C51-C58,Malignant neoplasms of female genital organs,5181.0,2021-22
C60-C63,Malignant neoplasms of male genital organs,5071.0,2021-22
C64-C68,Malignant neoplasms of urinary tract,5966.0,2021-22
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4742.0,2021-22
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,628.0,2021-22
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",30434.0,2021-22
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",20188.0,2021-22
C97-C97,Malignant neoplasms of independent (primary) multiple sites,666.0,2021-22
D00-D09,In situ neoplasms,169.0,2021-22
D10-D36,Benign neoplasms,9607.0,2021-22
D37-D48,Neoplasms of uncertain or unknown behaviour,7102.0,2021-22
D50-D53,Nutritional anaemias,41128.0,2021-22
D55-D59,Haemolytic anaemias,12884.0,2021-22
D60-D64,Aplastic and other anaemias,27551.0,2021-22
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",8002.0,2021-22
D70-D77,Other diseases of blood and blood-forming organs,6142.0,2021-22
D80-D89,Certain disorders involving the immune mechanism,1152.0,2021-22
E00-E07,Disorders of thyroid gland,4172.0,2021-22
E10-E14,Diabetes Mellitus,54215.0,2021-22
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,13099.0,2021-22
E20-E35,Disorders of other endocrine glands,5967.0,2021-22
E40-E46,Malnutrition,714.0,2021-22
E50-E64,Other nutritional deficiencies,2173.0,2021-22
E65-E68,Obesity and other hyperalimentation,674.0,2021-22
E70-E90,Metabolic disorders,80294.0,2021-22
F00-F09,"Organic, including symptomatic, mental disorders",34584.0,2021-22
F10-F19,Mental and behavioural disorders due to psychoactive subst.,43128.0,2021-22
F20-F29,"Schizophrenia, schizotypal and delusional disorders",13439.0,2021-22
F30-F39,Mood [affective] disorders,12506.0,2021-22
F40-F48,"Neurotic, stress-related and somatoform disorders",18016.0,2021-22
F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,4884.0,2021-22
F60-F69,Disorders of adult personality and behaviour,4780.0,2021-22
F70-F79,Mental retardation,166.0,2021-22
F80-F89,Disorders of psychological development,821.0,2021-22
F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,962.0,2021-22
F99-F99,Unspecified mental disorder,368.0,2021-22
G00-G09,Inflammatory diseases of the central nervous system,4935.0,2021-22
G10-G14,Systemic atrophies primarily affecting the central nervous system,1189.0,2021-22
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,6346.0,2021-22
G30-G32,Other degenerative diseases (incl. Alzheimer).,5030.0,2021-22
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,2891.0,2021-22
G40-G47,Episodic and paroxysmal disorders,87323.0,2021-22
G50-G59,"Nerve, nerve root and plexus disorders",7831.0,2021-22
G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,3093.0,2021-22
G70-G73,Diseases of myoneural junction and muscle,1489.0,2021-22
G80-G83,Cerebral palsy & other paralytic syndromes,4216.0,2021-22
G90-G99,Other diseases & disorders of the nervous syst.,13229.0,2021-22
H00-H06,"Disorders of eyelid, lacrimal system and orbit",5285.0,2021-22
H10-H13,Disorders of conjunctiva (including conjunctivitis),1545.0,2021-22
H15-H22,"Disorders of sclera, cornea, iris and ciliary body",1680.0,2021-22
H25-H28,Disorders of lens (including cataracts),480.0,2021-22
H30-H36,Disorders of choroid and retina,6490.0,2021-22
H40-H42,Glaucoma,862.0,2021-22
H43-H45,Disorders of vitreous body and globe,1186.0,2021-22
H46-H48,Disorders of optic nerve and visual pathways,2757.0,2021-22
H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",1394.0,2021-22
H53-H54,Visual disturbances and blindness,6249.0,2021-22
H55-H59,Other disorders of eye and adnexa,2048.0,2021-22
H60-H62,Diseases of external ear,8096.0,2021-22
H65-H75,Diseases of middle ear and mastoid,7432.0,2021-22
H80-H83,Diseases of inner ear,11126.0,2021-22
H90-H95,Other disorders of ear,2999.0,2021-22
I00-I02,Acute rheumatic fever,34.0,2021-22
I05-I09,Chronic rheumatic heart diseases,2306.0,2021-22
