code,description,emergency,year
A00-A09,Intestinal infectious diseases,114231.0,2023-24
A15-A19,Tuberculosis,1634.0,2023-24
A20-A28,Certain zoonotic bacterial diseases,146.0,2023-24
A30-A49,Other bacterial diseases,114125.0,2023-24
A50-A64,Infections with a predominantly sexual mode of transmission,997.0,2023-24
A65-A69,Other spirochaetal diseases,264.0,2023-24
A70-A74,Other diseases caused by chlamydiae,48.0,2023-24
A75-A79,Rickettsioses,28.0,2023-24
A80-A89,Viral infections of the central nervous system,3269.0,2023-24
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,323.0,2023-24
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,11876.0,2023-24
B15-B19,Viral hepatitis,1952.0,2023-24
B20-B24,Human immunodeficiency virus [HIV] disease,757.0,2023-24
B25-B34,Other viral diseases,85279.0,2023-24
B35-B49,Mycoses,3655.0,2023-24
B50-B64,Protozoal diseases,2195.0,2023-24
B65-B83,Helminthiases,264.0,2023-24
B85-B89,"Pediculosis, acariasis and other infestations",408.0,2023-24
B95-B98,"Bacterial, viral and other infectious agents",5.0,2023-24
B99-B99,Other infectious and parasitic diseases,11103.0,2023-24
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,2709.0,2023-24
C15-C26,Malignant neoplasm of digestive organs,29835.0,2023-24
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,13258.0,2023-24
C40-C41,Malignant neoplasm of bone and articular cartilage,720.0,2023-24
C43-C44,Malignant neoplasms of skin,1646.0,2023-24
C45-C49,Malignant neoplasms of mesothelial and soft tissue,2347.0,2023-24
C50-C50,Malignant neoplasm of breast,4135.0,2023-24
C51-C58,Malignant neoplasms of female genital organs,5191.0,2023-24
C60-C63,Malignant neoplasms of male genital organs,4816.0,2023-24
C64-C68,Malignant neoplasms of urinary tract,5873.0,2023-24
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",4700.0,2023-24
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,739.0,2023-24
C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",29932.0,2023-24
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",19560.0,2023-24
C97-C97,Malignant neoplasms of independent (primary) multiple sites,733.0,2023-24
D00-D09,In situ neoplasms,228.0,2023-24
D10-D36,Benign neoplasms,10698.0,2023-24
D37-D48,Neoplasms of uncertain or unknown behaviour,6504.0,2023-24
D50-D53,Nutritional anaemias,45544.0,2023-24
D55-D59,Haemolytic anaemias,15232.0,2023-24
D60-D64,Aplastic and other anaemias,26754.0,2023-24
D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",8852.0,2023-24
D70-D77,Other diseases of blood and blood-forming organs,6958.0,2023-24
D80-D89,Certain disorders involving the immune mechanism,1174.0,2023-24
E00-E07,Disorders of thyroid gland,4723.0,2023-24
E10-E14,Diabetes Mellitus,55884.0,2023-24
E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,12255.0,2023-24
E20-E35,Disorders of other endocrine glands,6606.0,2023-24
