code,description,emergency,year
J00-J06,Acute upper respiratory infections,119706.0,2022-23
J09-J18,Influenza & pneumonia,261695.0,2022-23
J20-J22,Other acute lower respiratory infections,156188.0,2022-23
J30-J39,Other diseases of upper respiratory tract,19349.0,2022-23
J40-J47,Chronic lower respiratory diseases,169042.0,2022-23
J60-J70,Lung diseases due to external agents,27495.0,2022-23
J80-J84,Other respiratory diseases principally affecting the interstitium,9397.0,2022-23
J85-J86,Suppurative and necrotic conditions of lower respiratory tract,3326.0,2022-23
J90-J94,Other diseases of pleura,21355.0,2022-23
J95-J99,Other diseases of the respiratory system,15203.0,2022-23
K00-K14,"Diseases of oral cavity, salivary glands & jaws",19979.0,2022-23
K20-K31,"Diseases of oesophagus, stomach & duodenum",61575.0,2022-23
K35-K38,Diseases of appendix,43447.0,2022-23
K40-K46,Hernia,33215.0,2022-23
K50-K52,Noninfective enteritis & colitis,29568.0,2022-23
K55-K64,Other diseases of intestines,160540.0,2022-23
K65-K67,Diseases of peritoneum,5136.0,2022-23
K70-K77,Diseases of liver,29931.0,2022-23
K80-K87,"Disorders of gall bladder, biliary tract & pancreas",122703.0,2022-23
K90-K93,Other diseases of the digestive system,59038.0,2022-23
L00-L08,Infections of the skin and subcutaneous tissue,139526.0,2022-23
L10-L14,Bullous disorders,698.0,2022-23
L20-L30,Dermatitis and eczema,8369.0,2022-23
L40-L45,Papulosquamous disorders (including Psoriasis),1189.0,2022-23
L50-L54,Urticaria and erythems,4785.0,2022-23
L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,317.0,2022-23
L60-L75,Disorders of skin appendages,15014.0,2022-23
L80-L99,Other disorders of the skin and subcutaneous tissue,17033.0,2022-23
M00-M25,Arthropathies,62006.0,2022-23
M30-M36,Systemic connective tissue disorders,4706.0,2022-23
M40-M54,Dorsopathies,77344.0,2022-23
M60-M79,Soft tissue disorders,104661.0,2022-23
M80-M94,Osteopathies and chondropathies,25501.0,2022-23
M95-M99,Other disorders of the musculoskeletal system & conn. tiss.,7344.0,2022-23
N00-N08,Glomerular diseases,3319.0,2022-23
N10-N16,Renal tubulo-interstitial diseases,55827.0,2022-23
N17-N19,Renal failure,60028.0,2022-23
N20-N23,Urolithiasis,26552.0,2022-23
N25-N29,Other disorders of kidney & ureter,1916.0,2022-23
N30-N39,Other diseases of the urinary system,128621.0,2022-23
N40-N51,Diseases of male genital organs,42870.0,2022-23
N60-N64,Disorders of breast,6552.0,2022-23
N70-N77,Inflammatory diseases of female pelvic organs,14779.0,2022-23
N80-N98,Noninflammatory disorders of female genital tract,41511.0,2022-23
N99,Other disorders of the genitourinary system,1502.0,2022-23
O00-O08,Pregnancy with abortive outcome,48487.0,2022-23
O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",944.0,2022-23
O20-O29,Other maternal disorders predominantly related to pregnancy,69773.0,2022-23
O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,5987.0,2022-23
O60-O75,Complications of labour and delivery,3746.0,2022-23
O80-O84,Delivery,170.0,2022-23
O85-O92,Complications predominantly related to the puerperium,3193.0,2022-23
O94-O99,"Other obstetric conditions, not elsewhere classified",5030.0,2022-23
P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",4.0,2022-23
P05-P08,Disorders related to length of gestation and fetal growth,1298.0,2022-23
P10-P15,Birth trauma,493.0,2022-23
P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,6996.0,2022-23
P35-P39,Infections specific to the perinatal period,6040.0,2022-23
